PostalCode;Borough;Neighbourhood
M3K;Downsview East ;CFB Toronto
M4E;East Toronto ;The Beaches
M4J;East Toronto ;The Danforth East
M4K;East Toronto ;The Danforth West , Riverdale
M4L;East Toronto ;India Bazaar , The Beaches West
M4M;East Toronto ;Studio District
M4N;Central Toronto ;Lawrence Park East
M4P;Central Toronto ;Davisville North
M4R;Central Toronto ;North Toronto West
M4S;Central Toronto ;Davisville
M4T;Central Toronto ;Moore Park , Summerhill East
M4V;Central Toronto ;Summerhill West , Rathnelly , South Hill , Forest Hill SE , Deer Park
M4W;Downtown Toronto ;Rosedale
M4X;Downtown Toronto ;St. James Town , Cabbagetown
M4Y;Downtown Toronto ;Church and Wellesley
M5A;Downtown Toronto ;Regent Park , Port of Toronto
M5B;Downtown Toronto ;Ryerson
M5C;Downtown Toronto ;St. James Park
M5E;Downtown Toronto ;Berczy Park
M5G;Downtown Toronto ;Central Bay Street
M5H;Downtown Toronto ;Richmond , Adelaide , King
M5J;Downtown Toronto ;Harbourfront East , Union Station , Toronto Island
M5K;Downtown Toronto ;Toronto Dominion Centre , Design Exchange
M5L;Downtown Toronto ;Commerce Court , Victoria Hotel
M5N;Central Toronto ;Roselawn
M5P;Central Toronto ;Forest Hill North & West
M5R;Central Toronto ;The Annex , North Midtown , Yorkville
M5S;Downtown Toronto ;University of Toronto , Harbord
M5T;Downtown Toronto ;Kensington Market , Chinatown , Grange Park
M5V;Downtown Toronto ;CN Tower , King and Spadina , Railway Lands , Harbourfront West , Bathurst Quay , South Niagara , YTZ
M5W;Downtown Toronto;Stn A PO Boxes 25 The Esplanade Enclave of M5E
M5X;Downtown Toronto ;Underground city
M6G;Downtown Toronto ;Christie
M6H;West Toronto ;Dufferin , Dovercourt Village
M6J;West Toronto ;Rua Aores , Trinity
M6K;West Toronto ;Brockton , Parkdale Village , Exhibition Place
M6P;West Toronto ;High Park , The Junction South
M6R;West Toronto ;Parkdale , Roncesvalles Village
M6S;West Toronto ;Bloor West Village , Swansea
M7Y;East Toronto;Business Reply Mail Processing Centre 969 Eastern Enclave of M4L
M8V;Etobicoke ;New Toronto , Mimico South , Humber Bay Shores
M1B;Scarborough ;Malvern , Rouge River
M1C;Scarborough ;Rouge Hill , Port Union , Highland Creek
M1E;Scarborough ;Guildwood , Morningside , Ellesmere
M1G;Scarborough ;Woburn
M1H;Scarborough ;Cedarbrae
M1J;Scarborough ;Eglinton
M1K;Scarborough ;Kennedy Park , Ionview , East Birchmount Park
M1L;Scarborough ;The Golden Mile , Clairlea , Oakridge , Birchmount Park East
M1M;Scarborough ;Cliffside , Cliffcrest , Scarborough Village West
M1N;Scarborough ;Birch Cliff , Cliffside West
M1P;Scarborough ;Dorset Park , Wexford Heights , Scarborough Town Centre
M1R;Scarborough ;Wexford , Maryvale
M1S;Scarborough ;Agincourt
M1T;Scarborough ;Clarks Corners , Tam O'Shanter , Sullivan
M1V;Scarborough ;Milliken , Agincourt North , Steeles East , L'Amoreaux East
M1W;Scarborough ;Steeles West , L'Amoreaux West
M1X;Scarborough ;Upper Rouge
M2H;North York ;Hillcrest Village
M2J;North York ;Fairview , Henry Farm , Oriole
M2K;North York ;Bayview Village
M2L;North York ;York Mills , Silver Hills
M2M;Willowdale East ;Newtonbrook
M2N;Willowdale South;Willowdale South
M2P;North York ;York Mills West
M2R;Willowdale West;Willowdale West
M3A;North York ;York Heights , Victoria Village , Parkway East
M3B;Don Mills North;Don Mills North
M3C;Don Mills South ;Flemingdon Park
M3H;North York ;Armour Heights , Wilson Heights , Downsview North
M3J;North York ;Northwood Park , York University
M3L;Downsview West;Downsview West
M3M;Downsview Central;Downsview Central
M3N;North York ;Jane and Finch
M4A;North York ;Sweeney Park , Wigmore Park
M4B;East York ;Parkview Hill , Woodbine Gardens
M4C;East York ;Woodbine Heights
M4G;East York ;Leaside
M4H;East York ;Thorncliffe Park
M5M;North York ;Bedford Park , Lawrence Park West , Lawrence Manor East
M6A;North York ;Lawrence Manor , Lawrence Heights
M6B;North York ;Glencairn
M6C;York ;Cedarvale
M6E;York ;Fairbank , Oakwood
M6L;North York ;North Park , Maple Leaf Park , Upwood Park
M6M;York ;Del Ray , Keelsdale , Mount Dennis , Silverthorne
M6N;York ;Runnymede , The Junction North
M7A;Queen's Park;Ontario Provincial Government
M8W;Etobicoke ;Alderwood , Long Branch
M8X;Etobicoke ;The Kingsway , Montgomery Road , Old Mill North
M8Y;Etobicoke ;Old Mill South , King's Mill Park , Sunnylea , Humber Bay , Mimico NE , The Queensway East , Royal York South East , Kingsway Park South East
M8Z;Etobicoke ;Mimico NW , The Queensway West , South of Bloor , Kingsway Park South West , Royal York South West
M9A;Etobicoke ;Islington Avenue
M9B;Etobicoke ;West Deane Park , Princess Gardens , Martin Grove , Islington , Cloverdale
M9C;Etobicoke ;Eringate , Bloordale Gardens , Old Burnhamthorpe , Markland Woods
M9L;North York ;Humber Summit
M9M;North York ;Humberlea , Emery
M9N;Weston;Weston
M9P;Etobicoke ;Westmount
M9R;Etobicoke ;Kingsview Village , St. Phillips , Martin Grove Gardens , Richview Gardens
M9V;Etobicoke ;South Steeles , Silverstone , Humbergate , Jamestown , Mount Olive , Beaumond Heights , Thistletown , Albion Gardens
M9W;Etobicoke;Northwest , Clairville , Humberwood , Woodbine Downs , West Humber , Kipling Heights , Rexdale , Elms , Tandridge , Old Rexdale
